product	AUS	CaOx	DCT	DCT_DHICA	DHICA_ox	TYR	binuclear_AspCuB	binuclear_TyrCuA	binuclear_TyrCuB	biosynthetic	hemocyanin	mononuclear_AspCuB_Zn	mononuclear_CuA_loss	mononuclear_CuB_loss	mononuclear_LeuCuA	mononuclear_ProCuB	neither_Microbispora	neither_liverfluke	oAPO	oMP
bacterial alpha-l-rhamnosidase-domain-containing protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
bag domain-containing protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
bar domain-containing protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4
bas1-transcription factor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
beauvericin cluster-specific repressor bea4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
benzoate 4-monooxygenase cytochrome p450	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	6
beta-cyclopiazonate dehydrogenase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
beta-glucosidase	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	13
beta-ketoacyl synthase domain-containing protein	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	12
beta-lactamase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
beta-lactamase domain-containing protein 2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
beta-lactamase-like protein	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3
beta-lactamase/transpeptidase-like protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5
bifunctional dethiobiotin synthetase adenosylmethionine-8-amino-7-oxononanoate aminotransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
bifunctional dethiobiotin synthetase/7 8-diamino-pelargonic acid aminotransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4
bifunctional glutathione transferase/peroxidase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
bola-like protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
branched-chain-amino-acid aminotransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
bre1-domain-containing protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
btad domain-containing putative transcriptional regulator	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0
c-x8-c-x5-c-x3-h type zinc finger protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
c2 domain-containing protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
c2h2 transcription factor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
c6 transcription factor	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3
c6 zinc finger domain-containing protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	16
calcium-binding ef-hand protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
carbamoyl-phosphate synthase	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
carbohydrate abc transporter permease	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
carbohydrate esterase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
carbohydrate esterase family 3 protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
carbohydrate esterase family 8 protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
carbohydrate-binding module family 1 protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
carbohydrate-binding module family 50 protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3
carbon-nitrogen hydrolase	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	16
carbonic anhydrase	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8
carboxylesterase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	17
carboxylesterase family protein	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	2
carboxypeptidase c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
carboxypeptidase s	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
carboxypeptidase s1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
carotenoid oxygenase	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
catechol oxidase	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cation transporter	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
cbs-domain-containing protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
cc171 protein	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ccaat-binding transcription factor subunit b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
ccch zinc finger dna binding protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
cd5 antigen	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
cell division control protein 42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
cell division cycle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
cellulose-growth-specific protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3
centrosomal protein cep89	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
cer1 protein	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cerberus	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cfem domain-containing protein	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
chaperonin 10-like protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	12
charged multivesicular body protein-like protein 5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
chitinase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1
chitinase 2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2
chloroperoxidase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
choline transport protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	13
chromatin remodeling complex subunit	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	6
cilia- and flagella-associated protein 77 isoform x2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
circadian locomoter output cycles protein kaput	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
clarin-2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
class i glutamine amidotransferase-like protein	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	3
class v myosin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
clathrin heavy chain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
claudin 10	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
claudin-10	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
claudin-10-like	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
claudin-10-like isoform x1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
clavaminate synthase-like protein	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	1
cld10 protein	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
clpp/crotonase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
cmgc protein kinase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
cmgc srpk kinase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
cmgc/srpk protein kinase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1
cnt family concentrative nucleoside transporter	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
coa-transferase family iii domain-containing protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
cobalamin-independent methionine synthase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
cobw/hypb/ureg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
cofactor fmo1 fad enzyme	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1
coiled-coil domain-containing protein 171	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
common central domain of tyrosinase	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	3	0
concanavalin a-like lectin/glucanase domain-containing protein	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	20
conjugal transfer protein trar	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
conserved hypothethical protein	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
conserved hypothetical protein	0	0	0	34	0	5	0	0	0	16	2	0	0	0	0	0	0	0	0	40
conserved oligomeric golgi complex subunit 3	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
conserved protein of unknown function	0	0	0	18	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
conserved unknown protein	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
coproporphyrinogen iii oxidase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
cral/trio domain-containing protein	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
creatinase/aminopeptidase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4
crystal et79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
